2.231248,0.8381413,1.225493,2.231248,0.8381413,1.225493
2.231248,0.8381413,1.225493,2.231248,0.8381413,1.225493
2.241108,0.8541824,1.242273,2.231248,0.8381413,1.225493
2.258502,0.8671827,1.253945,2.241108,0.8541824,1.242273
2.275076,0.8839858,1.275926,2.258502,0.8671827,1.253945
2.281224,0.9071612,1.299353,2.275076,0.8839858,1.275926
2.253713,0.9277958,1.259017,2.231248,0.8381413,1.225493
2.249025,0.9358543,1.295467,2.253713,0.9277958,1.259017
2.249468,0.912356,1.300839,2.249025,0.9358543,1.295467
2.232252,0.9288162,1.253572,2.231248,0.8381413,1.225493
2.228856,0.9345946,1.295624,2.232252,0.9288162,1.253572
2.232013,0.9089091,1.304407,2.228856,0.9345946,1.295624
2.213129,0.921176,1.254817,2.231248,0.8381413,1.225493
2.211787,0.9279801,1.292874,2.213129,0.921176,1.254817
2.218859,0.904189,1.301753,2.211787,0.9279801,1.292874
2.207891,0.8682488,1.242762,2.231248,0.8381413,1.225493
2.195504,0.9090074,1.258124,2.207891,0.8682488,1.242762
2.196576,0.9190769,1.286866,2.195504,0.9090074,1.258124
2.205347,0.9035455,1.296237,2.196576,0.9190769,1.286866
2.277576,0.9230268,1.31756,2.281224,0.9071612,1.299353
2.251567,0.895504,1.286526,2.249468,0.912356,1.300839
2.238408,0.8899334,1.289789,2.232013,0.9089091,1.304407
2.22579,0.8869216,1.286302,2.218859,0.904189,1.301753
2.214775,0.8876394,1.284725,2.205347,0.9035455,1.296237
2.639947,0.7958055,1.579312,2.639947,0.7958055,1.579312
2.639947,0.7958055,1.579312,2.639947,0.7958055,1.579312
2.620901,0.7856207,1.592337,2.639947,0.7958055,1.579312
2.596786,0.7806855,1.593701,2.620901,0.7856207,1.592337
2.566242,0.7781966,1.603756,2.596786,0.7806855,1.593701
2.539883,0.7765389,1.6244,2.566242,0.7781966,1.603756
2.567897,0.7978633,1.646178,2.639947,0.7958055,1.579312
2.551848,0.7986396,1.680197,2.567897,0.7978633,1.646178
2.543346,0.7919351,1.701738,2.551848,0.7986396,1.680197
2.585726,0.8059518,1.656568,2.639947,0.7958055,1.579312
2.569074,0.8032691,1.695668,2.585726,0.8059518,1.656568
2.56051,0.7919084,1.719001,2.569074,0.8032691,1.695668
2.605567,0.8042344,1.661955,2.639947,0.7958055,1.579312
