0.604039, 0.1568399, 0.3570402, 0
0.5540838, 0.6066359, 0.332139, 0
0.2814876, 0.4126518, 0.2813638, 0
0.6527929, 0.1963801, 0.2926855, 0
0.4585446, 0.2943459, 0.3209816, 0
0.6220875, 0.353238, 0.2876821, 0
0.5994098, 0.5755013, 0.2326956, 0
0.4966728, 0.3693114, 0.4249348, 0
0.2910532, 0.6102938, 0.5358045, 0
0.3317914, 0.1640321, 0.3129525, 0
0.6221092, 0.1665952, 0.5114305, 0
0.6417979, 0.4110916, 0.5413763, 0
0.3339467, 0.6057985, 0.5808193, 0
0.3600934, 0.3452587, 0.7026718, 0
0.3298501, 0.4820236, 0.2908191, 0
0.3172242, 0.294387, 0.256891, 0
0.7474623, 0.4894146, 0.591313, 0
0.6783211, 0.2649793, 0.2717853, 0
0.3894467, 0.2691105, 0.2539633, 0
0.858316, 0.4698469, 0.5910237, 0
0.6436056, 0.7315074, 0.5742303, 0
0.2651986, 0.2962292, 0.7459172, 0
0.4116389, 0.196987, 0.7151297, 0
0.3084731, 0.3191616, 0.8197751, 0
0.5853398, 0.4593886, 0.8461716, 0
0.2809098, 0.1844646, 0.5214006, 0
0.4738739, 0.6264594, 0.7111914, 0
0.1812666, 0.5341644, 0.4234376, 0
0.5043806, 0.4934552, 0.6569697, 0
0.2504034, 0.5992082, 0.5611216, 0
0.236277, 0.3632809, 0.5258536, 0
0.3231728, 0.2074448, 0.4446128, 0
0.2382818, 0.4405571, 0.3057063, 0
0.5422911, 0.2533053, 0.8316274, 0
0.7424071, 0.4678987, 0.2738098, 0
0.6422749, 0.6210399, 0.672488, 0
0.7260103, 0.2682804, 0.5829757, 0
0.6377441, 0.4249907, 0.5883431, 0
0.3708093, 0.4331955, 0.6457328, 0
0.5076932, 0.653112, 0.68584, 0
0.4308148, 0.5824772, 0.5271582, 0
0.4909325, 0.2078059, 0.4520192, 0
0.3322096, 0.3354997, 0.615281, 0
0.5347637, 0.4642234, 0.4964477, 0
0.2511022, 0.4988456, 0.6581597, 0
0.5086133, 0.475504, 0.1701145, 0
0.5938, 0.658198, 0.3478106, 0
0.4921701, 0.1736458, 0.6513615, 0
0.3876283, 0.153885, 0.3375324, 0
0.317978, 0.4772611, 0.3691874, 0
0.6174758, 0.6164775, 0.726558, 0
0.5902584, 0.4246076, 0.8178038, 0
0.6671777, 0.3116738, 0.8091493, 0
0.6478955, 0.2053533, 0.718828, 0
0.25132, 0.5429876, 0.34343, 0
0.5674229, 0.2151283, 0.8334576, 0
0.7130257, 0.3739693, 0.6071984, 0
0.3561734, 0.4668576, 0.8439275, 0
0.5787022, 0.5061247, 0.3429109, 0
0.494117, 0.5170676, 0.8681014, 0
0.7631749, 0.3201492, 0.5382038, 0
0.6446772, 0.6489484, 0.3872313, 0
0.4246927, 0.2817497, 0.5476056, 0
0.5741376, 0.2473642, 0.3807933, 0
0.7036803, 0.2522594, 0.7002078, 0
0.2952036, 0.5149871, 0.5685545, 0
0.2049188, 0.298891, 0.3399037, 0
0.3829995, 0.4970309, 0.8626751, 0
0.3895971, 0.7165335, 0.6255078, 0
0.5443704, 0.2139164, 0.6731031, 0
0.3994184, 0.6666771, 0.6699015, 0
0.7843948, 0.3936923, 0.7717188, 0
0.5406866, 0.4784327, 0.5011246, 0
0.400797, 0.4950311, 0.8095016, 0
0.3740088, 0.2641409, 0.301792, 0
0.5273736, 0.3434089, 0.2853746, 0
0.7311202, 0.2510501, 0.5156257, 0
0.3129206, 0.1812605, 0.5458142, 0
0.4756611, 0.3982507, 0.5626075, 0
0.6803256, 0.6082428, 0.6022739, 0
0.3126377, 0.2740657, 0.5985116, 0
0.4279995, 0.218234, 0.3591639, 0
0.8052935, 0.4423459, 0.5729169, 0
0.7633169, 0.2569072, 0.5893168, 0
0.5545473, 0.4968038, 0.6710597, 0
0.4115647, 0.3224273, 0.5348219, 0
0.4808126, 0.2732385, 0.3586437, 0
0.7256907, 0.6032073, 0.4761626, 0
0.56905, 0.3443239, 0.2752192, 0
0.2037667, 0.2401904, 0.4130539, 0
0.4546833, 0.4539184, 0.2685635, 0
0.5071541, 0.1666537, 0.6003817, 0
0.2672508, 0.2575286, 0.3386272, 0
0.5207691, 0.5386242, 0.5867007, 0
0.6252762, 0.4509379, 0.2727512, 0
0.7813157, 0.3380142, 0.6759446, 0
0.70633, 0.4367105, 0.7116048, 0
0.8029774, 0.4993522, 0.6388429, 0
0.7142857, 0.3894992, 0.7545675, 0
0.5168859, 0.4504986, 0.7627469, 0
0.3343518, 0.355548, 0.7741084, 0
0.4984306, 0.2057376, 0.685081, 0
0.7002851, 0.3363621, 0.3040244, 0
0.5028457, 0.7294536, 0.7023215, 0
0.4259469, 0.5638839, 0.4509051, 0
0.4819869, 0.482069, 0.5166538, 0
0.8640888, 0.3878436, 0.4485955, 0
0.2254558, 0.4140472, 0.3327436, 0
0.833566, 0.4274997, 0.6635487, 0
0.3197868, 0.2384185, 0.5096864, 0
0.5318977, 0.3968816, 0.459102, 0
0.4590487, 0.1557862, 0.3588054, 0
0.2943836, 0.3344457, 0.591172, 0
0.7658431, 0.1842751, 0.5244729, 0
0.4185744, 0.4651596, 0.4413213, 0
0.3206439, 0.711759, 0.5329298, 0
0.6190715, 0.5329836, 0.7373274, 0
0.6087008, 0.4496295, 0.7502281, 0
0.4323607, 0.6594877, 0.6765063, 0
0.424933, 0.6667903, 0.4037553, 0
0.5026869, 0.2647574, 0.276036, 0
0.6907671, 0.1985269, 0.6946129, 0
0.489228, 0.4857228, 0.3957744, 0
0.3764931, 0.3682336, 0.8365731, 0
0.344753, 0.6848322, 0.5870989, 0
0.5317943, 0.537494, 0.1923327, 0
0.3403169, 0.3833625, 0.8238042, 0
0.1768668, 0.4485069, 0.3799281, 0
0.153876, 0.4615386, 0.4798461, 0
0.7490163, 0.5177156, 0.7418663, 0
0.5895197, 0.2020681, 0.7463351, 0
0.2828763, 0.225586, 0.3574214, 0
0.4389049, 0.4191996, 0.211224, 0
0.5801749, 0.4061994, 0.5872605, 0
0.6930193, 0.6176496, 0.7605053, 0
0.2707273, 0.4471028, 0.7165806, 0
0.2520793, 0.5059411, 0.4923659, 0
0.4097546, 0.4744508, 0.1836866, 0
0.3722554, 0.2442403, 0.2599795, 0
0.2881691, 0.5248858, 0.6088472, 0
0.4964992, 0.1626376, 0.5739477, 0
0.479582, 0.2020923, 0.4438764, 0
0.2989696, 0.186121, 0.5698778, 0
0.4248839, 0.2725638, 0.7010639, 0
0.5927604, 0.3596327, 0.3588745, 0
0.3071121, 0.1783039, 0.4973064, 0
